FID,DEPARTAMENTO,RANGO,POBLACION,REGION,COBERTURA
25,AMAZONAS,< 41%,78830,AMAZONIA,37.69454545
30,ANTIOQUIA,89% - 96%,6690977,ANDINA,95.14408
22,ARAUCA,78% - 89%,270708,ORINOQUIA,92.49142857
31,ATLÁNTICO,89% - 96%,2546138,CARIBE,98.05434783
0,BOGOTÁ,89% - 96%,8181047,ANDINA,99.99
1,BOLÍVAR,78% - 89%,2171558,CARIBE,85.35869565
2,BOYACÁ,78% - 89%,1281979,ANDINA,93.50544715
3,CALDAS,89% - 96%,993870,ANDINA,98.52444444
4,CAQUETÁ,64% - 78%,496262,AMAZONIA,83.61375
23,CASANARE,78% - 89%,375258,ORINOQUIA,71.54947368
5,CAUCA,64% - 78%,1416145,PACIFICO,83.08285714
6,CESAR,78% - 89%,1065637,CARIBE,90.1228
9,CHOCÓ,41% - 64%,515166,PACIFICO,73.408
7,CÓRDOBA,78% - 89%,1788648,CARIBE,84.93
8,CUNDINAMARCA,89% - 96%,2804238,ANDINA,98.75112069
26,GUAINÍA,64% - 78%,43446,AMAZONIA,66.60666667
27,GUAVIARE,41% - 64%,115829,AMAZONIA,67.5575
10,HUILA,78% - 89%,1197049,ANDINA,96.11783784
11,LA GUAJIRA,64% - 78%,1040193,CARIBE,81.118
12,MAGDALENA,78% - 89%,1298562,CARIBE,84.31866667
13,META,78% - 89%,1016672,ORINOQUIA,85.63689655
14,NARIÑO,78% - 89%,1809301,PACIFICO,94.239375
15,NORTE DE SANTANDER,78% - 89%,1391366,ANDINA,92.07525
24,PUTUMAYO,41% - 64%,358896,AMAZONIA,69.40076923
16,QUINDÍO,89% - 96%,574960,ANDINA,98.8825
17,RISARALDA,89% - 96%,967780,ANDINA,96.73285714
18,SANTANDER,78% - 89%,2090854,ANDINA,89.42022989
19,SUCRE,78% - 89%,877024,ANDINA,96.97153846
20,TOLIMA,78% - 89%,1419957,ANDINA,92.25489362
21,VALLE DEL CAUCA,78% - 89%,4755760,PACIFICO,97.94309524
28,VAUPÉS,< 41%,44928,AMAZONIA,71.41
29,VICHADA,< 41%,77276,ORINOQUIA,65.3875
