,FID,POBLACION,DEPARTAMENTO,MUNICIPIO,COBERTURA,RANGO,REGION
0,0,12819,ANTIOQUIA,SAN RAFAEL,99.24,> 95,ANDINA
1,1,16366,ANTIOQUIA,SAN ROQUE,96.55,> 95,ANDINA
2,2,16509,ANTIOQUIA,SAN VICENTE,96.95,> 95,ANDINA
3,3,21591,ANTIOQUIA,SANTA BÁRBARA,98.93,> 95,ANDINA
4,4,27273,ANTIOQUIA,SANTUARIO,99.62,> 95,ANDINA
5,5,41711,ANTIOQUIA,SEGOVIA,95.33,> 95,ANDINA
6,6,34339,ANTIOQUIA,SONSÓN,98.51,> 95,ANDINA
7,7,15057,ANTIOQUIA,SOPETRÁN,91.04,90.1 - 95,ANDINA
8,8,14224,ANTIOQUIA,TÁMESIS,98.61,> 95,ANDINA
9,9,46343,ANTIOQUIA,TARAZÁ,90.31,90.1 - 95,ANDINA
10,10,8051,ANTIOQUIA,TARSO,98.72,> 95,ANDINA
11,11,14691,ANTIOQUIA,TITIRIBÍ,99.2,> 95,ANDINA
12,12,8212,ANTIOQUIA,URAMITA,94.86,90.1 - 95,ANDINA
13,13,23931,ANTIOQUIA,VALDIVIA,88.25,70.1 - 90,ANDINA
14,14,6102,ANTIOQUIA,VALPARAÍSO,98.75,> 95,ANDINA
15,15,8949,ANTIOQUIA,VEGACHÍ,98.75,> 95,ANDINA
16,16,13184,ANTIOQUIA,VENECIA,99.24,> 95,ANDINA
17,17,8577,ANTIOQUIA,YALÍ,98.05,> 95,ANDINA
18,18,48556,ANTIOQUIA,YARUMAL,97.59,> 95,ANDINA
19,19,25231,ANTIOQUIA,YOLOMBÓ,90.75,90.1 - 95,ANDINA
20,20,31884,ANTIOQUIA,ZARAGOZA,87.41,70.1 - 90,ANDINA
21,21,1232766,ATLANTICO,BARRANQUILLA,99.98,> 95,CARIBE
22,22,59561,ATLANTICO,BARANOA,99.52,> 95,CARIBE
23,23,15201,ATLANTICO,CAMPO DE LA CRUZ,100.0,> 95,CARIBE
24,24,12554,ATLANTICO,CANDELARIA,100.0,> 95,CARIBE
25,25,46302,ATLANTICO,GALAPA,98.07,> 95,CARIBE
26,26,17489,ATLANTICO,JUAN DE ACOSTA,93.85,90.1 - 95,CARIBE
27,27,27906,ATLANTICO,LURUACO,92.95,90.1 - 95,CARIBE
28,28,127221,ATLANTICO,MALAMBO,98.04,> 95,CARIBE
29,29,16294,ATLANTICO,MANATÍ,97.78,> 95,CARIBE
30,30,25764,ATLANTICO,PALMAR DE VARELA,99.69,> 95,CARIBE
31,31,5174,ATLANTICO,PIOJÓ,99.01,> 95,CARIBE
32,32,15656,ATLANTICO,POLONUEVO,100.0,> 95,CARIBE
33,33,23244,ATLANTICO,PONEDERA,96.11,> 95,CARIBE
34,34,26747,ATLANTICO,PUERTO COLOMBIA,100.0,> 95,CARIBE
35,35,27110,ATLANTICO,REPELÓN,93.48,90.1 - 95,CARIBE
36,36,33694,ATLANTICO,SABANAGRANDE,99.24,> 95,CARIBE
37,37,101347,ATLANTICO,SABANALARGA,96.93,> 95,CARIBE
38,38,11305,ATLANTICO,SANTA LUCÍA,97.51,> 95,CARIBE
39,39,25679,ATLANTICO,SANTO TOMÁS,97.55,> 95,CARIBE
40,40,666109,ATLANTICO,SOLEDAD,99.97,> 95,CARIBE
41,41,8470,ATLANTICO,SUAN,100.0,> 95,CARIBE
42,42,11017,ATLANTICO,TUBARÁ,98.29,> 95,CARIBE
